City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,39.72,96,75,8.05,GB,1702266711
1,yellowknife,62.456,-114.3525,9.41,97,75,19.57,CA,1702266712
2,minas de marcona,-15.2119,-75.1103,60.26,80,93,10.02,PE,1702266713
3,puerto natales,-51.7236,-72.4875,41.02,89,54,3.6,CL,1702266670
4,blackmans bay,-43.0167,147.3167,67.73,60,7,3.0,AU,1702266715
5,berdigestyakh,62.0989,126.6992,-17.32,93,100,10.04,RU,1702266716
6,iqaluit,63.7506,-68.5145,22.73,73,100,24.16,CA,1702266716
7,saldanha,-33.0117,17.9442,57.25,88,0,14.12,ZA,1702266717
8,okhotsk,59.3833,143.3,18.1,93,100,6.89,RU,1702266718
9,hawaiian paradise park,19.5933,-154.9731,75.04,96,75,0.0,US,1702266719
10,yaren,-0.5472,166.916,84.38,69,34,2.46,NR,1702266720
11,new norfolk,-42.7826,147.0587,68.92,28,10,1.66,AU,1702266720
12,west island,-12.1568,96.8225,84.18,70,40,13.8,CC,1702266722
13,bethel,41.3712,-73.414,62.69,82,100,17.27,US,1702266723
14,constantia,44.1833,28.65,30.88,80,93,8.25,RO,1702266457
15,berezovyy,51.6667,135.7,-2.76,50,2,7.27,RU,1702266725
16,brookings,44.3114,-96.7984,19.4,92,0,9.22,US,1702266524
17,kelme,55.6339,22.9342,26.62,96,100,11.79,LT,1702266727
18,udachny,66.4167,112.4,-14.19,96,100,11.72,RU,1702266541
19,nieuw amsterdam,5.8833,-55.0833,79.02,89,5,7.36,SR,1702266728
20,dawei,14.0833,98.2,88.03,56,46,3.06,MM,1702266729
21,port elizabeth,-33.918,25.5701,60.31,90,0,3.44,ZA,1702266730
22,enewetak,11.3474,162.3373,82.13,76,87,17.67,MH,1702266705
23,kupang,-10.1667,123.5833,88.38,79,75,8.05,ID,1702266732
24,grytviken,-54.2811,-36.5092,41.7,97,100,15.03,GS,1702266733
25,adamstown,-25.066,-130.1015,70.36,57,0,6.35,PN,1702266734
26,boa vista,2.8197,-60.6733,82.38,65,0,11.5,BR,1702266695
27,talnakh,69.4865,88.3972,-16.8,98,100,10.29,RU,1702266682
28,port-aux-francais,-49.35,70.2167,40.03,79,81,20.04,TF,1702266736
29,ribeira grande,38.5167,-28.7,62.78,74,80,20.0,PT,1702266737
30,badger,64.8,-147.5333,2.8,75,75,9.22,US,1702266677
31,hamilton,39.1834,-84.5333,34.57,82,100,11.5,US,1702266589
32,karasburg,-28.0167,18.75,58.75,37,0,3.83,NA,1702266741
33,aykhal,66.0,111.5,-16.29,98,100,5.5,RU,1702266724
34,pechora,65.1472,57.2244,-15.14,97,100,7.0,RU,1702266742
35,bardai,11.65,7.2333,59.05,32,1,11.41,NG,1702266743
36,margaret river,-33.95,115.0667,77.18,35,0,7.23,AU,1702266744
37,ushuaia,-54.8,-68.3,42.46,56,0,6.91,AR,1702266684
38,nikologory,56.1413,41.9922,12.63,93,100,11.32,RU,1702266746
39,jamestown,42.097,-79.2353,37.54,97,100,9.22,US,1702266747
40,canutama,-6.5339,-64.3831,79.66,78,92,1.66,BR,1702266748
41,college,64.8569,-147.8028,2.89,77,100,9.22,US,1702266672
42,vorgashor,67.5833,63.95,-14.31,100,100,9.6,RU,1702266750
43,ulanhot,46.0833,122.0833,3.87,45,83,4.47,CN,1702266751
44,klyuchi,52.2667,79.1667,-6.93,86,18,7.81,RU,1702266751
45,andergrove,-21.0833,149.1833,76.64,91,100,29.01,AU,1702266752
46,afaahiti,-17.75,-149.2833,84.07,81,65,24.4,PF,1702266699
47,masterton,-40.9597,175.6575,62.89,38,0,9.01,NZ,1702266754
48,brisas de zicatela,15.8369,-97.0419,79.32,69,0,3.44,MX,1702266755
49,waitangi,-43.9535,-176.5597,58.82,63,0,5.01,NZ,1702266676
50,mugia,43.1041,-9.2179,64.9,87,100,24.72,ES,1702266757
51,jiagedaqi,50.4167,124.1167,-1.26,56,1,4.61,CN,1702266757
52,edinburgh of the seven seas,-37.0676,-12.3116,56.55,71,98,17.63,SH,1702266666
53,apsheronsk,44.46,39.73,47.75,91,89,1.99,RU,1702266759
54,port alfred,-33.5906,26.891,63.18,94,20,3.44,ZA,1702266706
55,carnarvon,-24.8667,113.6333,90.63,26,0,10.02,AU,1702266761
56,glendive,47.1053,-104.7125,28.76,86,0,8.05,US,1702266574
57,cheremukhovo,60.3484,59.9851,-31.04,100,90,1.99,RU,1702266763
58,emerald,-23.5333,148.1667,82.35,50,100,14.74,AU,1702266764
59,flying fish cove,-10.4217,105.6791,82.08,69,40,10.36,CX,1702266765
60,el granada,37.5027,-122.4694,53.78,73,0,0.0,US,1702266766
61,ust'-ilimsk,58.0006,102.6619,-20.7,95,33,1.19,RU,1702266767
62,yuzhno-kurilsk,44.0306,145.8556,33.37,76,89,19.24,RU,1702266760
63,illizi,26.4833,8.4667,46.2,78,10,2.84,DZ,1702266768
64,bredasdorp,-34.5322,20.0403,58.89,84,3,2.55,ZA,1702266770
65,yakeshi,49.2833,120.7333,-20.58,97,100,3.09,CN,1702266771
66,isafjordur,66.0755,-23.124,28.56,88,88,9.42,IS,1702266773
67,katsuura,35.1333,140.3,59.02,66,56,4.07,JP,1702266774
68,ascension,30.2169,-90.9001,48.0,71,0,3.44,US,1702266775
69,ak'ordat,15.5486,37.8867,73.83,61,13,2.93,ER,1702266775
70,hadibu,12.65,54.0333,76.96,66,15,13.35,YE,1702266776
71,bay roberts,47.5999,-53.2648,34.05,93,75,5.99,CA,1702266778
72,limuru,-1.1,36.65,56.64,85,53,6.46,KE,1702266779
73,kargil,34.5667,76.1,21.94,28,97,1.83,IN,1702266779
74,lihue,21.9789,-159.3672,76.59,84,75,9.22,US,1702266780
75,xilin hot,43.9667,116.0333,6.26,87,100,7.14,CN,1702266781
76,hotan,37.0997,79.9269,35.44,30,97,7.7,CN,1702266782
77,fale old settlement,-9.3852,-171.2468,82.98,79,98,16.35,TK,1702266783
78,tazovsky,67.4667,78.7,-10.71,97,100,11.21,RU,1702266784
79,mazouna,36.1223,0.8987,51.66,59,2,4.05,DZ,1702266784
80,hun,29.1268,15.9477,52.41,81,5,12.28,LY,1702266785
81,albany,42.6001,-73.9662,43.38,91,100,1.99,US,1702266683
82,lebyazh'ye,55.2689,66.4947,-26.73,97,94,9.48,RU,1702266787
83,avarua,-21.2078,-159.775,78.85,78,100,25.32,CK,1702266788
84,ilulissat,69.2167,-51.1,28.42,64,100,20.71,GL,1702266789
85,petropavlovsk-kamchatsky,53.0452,158.6483,30.79,80,75,4.47,RU,1702266790
86,prince rupert,54.3161,-130.3201,40.69,95,0,12.66,CA,1702266791
87,edmundston,47.3737,-68.3251,40.33,92,100,8.05,CA,1702266572
88,sorsk,54.0033,90.2467,-10.23,90,65,2.17,RU,1702266792
89,sandnessjoen,66.0217,12.6316,18.12,80,29,16.17,NO,1702266691
90,port hedland,-20.3167,118.5667,89.65,10,7,17.27,AU,1702266794
91,codrington,-38.2667,141.9667,63.97,77,100,20.45,AU,1702266795
92,dongola,19.1667,30.4833,66.24,24,83,6.93,SD,1702266796
93,yinchuan,38.4681,106.2731,35.91,35,100,0.31,CN,1702266508
94,bilibino,68.0546,166.4372,-13.72,98,52,4.43,RU,1702266798
95,east end,34.5507,-92.341,42.1,67,8,4.27,US,1702266799
96,san jose del cabo,23.0589,-109.6977,74.73,76,0,11.5,MX,1702266800
97,fuglafjordur,62.244,-6.814,43.27,85,98,9.71,FO,1702266801
98,kodiak,57.79,-152.4072,40.51,93,100,5.75,US,1702266802
99,saarwellingen,49.35,6.8167,50.68,99,87,14.0,DE,1702266803
100,yushu,44.8,126.5333,2.95,70,100,7.09,CN,1702266803
101,whitehorse,60.7161,-135.0538,12.81,84,100,18.41,CA,1702266804
102,wichita falls,33.9137,-98.4934,41.25,48,0,10.36,US,1702266664
103,dunedin,-45.8742,170.5036,59.68,63,41,5.84,NZ,1702266806
104,anadyr,64.75,177.4833,-16.01,82,75,8.95,RU,1702266807
105,mehran,33.1222,46.1646,63.16,34,100,3.96,IR,1702266808
106,san patricio,28.017,-97.5169,51.84,29,0,4.23,US,1702266809
107,ust-nera,64.5667,143.2,-8.37,99,100,7.85,RU,1702266810
108,tiksi,71.6872,128.8694,-13.76,100,100,6.04,RU,1702266811
109,irece,-11.3042,-41.8558,70.84,71,37,12.21,BR,1702266811
110,cambria,35.5641,-121.0808,60.22,71,100,1.01,US,1702266812
111,envira,-7.3,-70.2167,71.91,94,100,2.64,BR,1702266813
112,long,18.0761,99.8326,87.12,69,7,1.19,TH,1702266814
113,georgetown,5.4112,100.3354,87.75,66,20,9.22,MY,1702266815
114,lebu,-37.6167,-73.65,54.03,92,67,13.47,CL,1702266816
115,doka,13.5167,35.7667,72.79,33,77,8.03,SD,1702266817
116,smithers,54.7804,-127.1743,25.12,93,100,2.3,CA,1702266697
117,kill devil hills,36.0307,-75.676,62.98,97,100,20.71,US,1702266751
118,utrik,11.2278,169.8474,80.92,78,88,19.53,MH,1702266820
119,tolanaro,-25.0319,46.9987,78.87,89,20,11.5,MG,1702266821
